2012-03-09 18:57:53 Notice: Notice (8): Undefined index:  before in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/cake/libs/view/helpers/form.php, line 862]
2012-03-09 23:20:05 Notice: Notice (8): Undefined variable: days in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 41]
2012-03-09 23:20:05 Notice: Notice (8): Undefined variable: years_long in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 48]
2012-03-09 23:20:05 Notice: Notice (8): Undefined variable: months in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 49]
2012-03-09 23:20:05 Notice: Notice (8): Undefined variable: days in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 50]
2012-03-09 23:20:05 Notice: Notice (8): Undefined variable: fees in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 78]
2012-03-09 23:20:05 Notice: Notice (8): Undefined variable: prefectures in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 84]
2012-03-09 23:20:20 Notice: Notice (8): Undefined variable: years_short in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 39]
2012-03-09 23:20:20 Notice: Notice (8): Undefined variable: months in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 40]
2012-03-09 23:20:20 Notice: Notice (8): Undefined variable: days in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 41]
2012-03-09 23:20:20 Notice: Notice (8): Undefined variable: years_long in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 48]
2012-03-09 23:20:20 Notice: Notice (8): Undefined variable: months in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 49]
2012-03-09 23:20:20 Notice: Notice (8): Undefined variable: days in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 50]
2012-03-09 23:20:20 Notice: Notice (8): Undefined variable: fees in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 78]
2012-03-09 23:20:20 Notice: Notice (8): Undefined variable: prefectures in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 84]
2012-03-09 23:20:44 Notice: Notice (8): Undefined variable: years_short in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 39]
2012-03-09 23:20:44 Notice: Notice (8): Undefined variable: months in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 40]
2012-03-09 23:20:44 Notice: Notice (8): Undefined variable: days in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 41]
2012-03-09 23:20:44 Notice: Notice (8): Undefined variable: years_long in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 48]
2012-03-09 23:20:44 Notice: Notice (8): Undefined variable: months in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 49]
2012-03-09 23:20:44 Notice: Notice (8): Undefined variable: days in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 50]
2012-03-09 23:20:44 Notice: Notice (8): Undefined variable: fees in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 78]
2012-03-09 23:20:44 Notice: Notice (8): Undefined variable: prefectures in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 84]
2012-03-09 23:21:56 Notice: Notice (8): Undefined variable: years_short in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 39]
2012-03-09 23:21:56 Notice: Notice (8): Undefined variable: months in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 40]
2012-03-09 23:21:56 Notice: Notice (8): Undefined variable: days in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 41]
2012-03-09 23:21:56 Notice: Notice (8): Undefined variable: years_long in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 48]
2012-03-09 23:21:56 Notice: Notice (8): Undefined variable: months in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 49]
2012-03-09 23:21:56 Notice: Notice (8): Undefined variable: days in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 50]
2012-03-09 23:21:56 Notice: Notice (8): Undefined variable: fees in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 78]
2012-03-09 23:21:56 Notice: Notice (8): Undefined variable: prefectures in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 84]
2012-03-09 23:23:22 Notice: Notice (8): Undefined variable: years_short in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 39]
2012-03-09 23:23:22 Notice: Notice (8): Undefined variable: months in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 40]
2012-03-09 23:23:22 Notice: Notice (8): Undefined variable: days in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 41]
2012-03-09 23:23:22 Notice: Notice (8): Undefined variable: years_long in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 48]
2012-03-09 23:23:22 Notice: Notice (8): Undefined variable: months in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 49]
2012-03-09 23:23:22 Notice: Notice (8): Undefined variable: days in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 50]
2012-03-09 23:23:22 Notice: Notice (8): Undefined variable: fees in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 78]
2012-03-09 23:23:22 Notice: Notice (8): Undefined variable: prefectures in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 84]
2012-03-09 23:24:20 Notice: Notice (8): Undefined variable: years_short in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 40]
2012-03-09 23:24:20 Notice: Notice (8): Undefined variable: months in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 41]
2012-03-09 23:24:20 Notice: Notice (8): Undefined variable: days in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 42]
2012-03-09 23:24:20 Notice: Notice (8): Undefined variable: years_long in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 49]
2012-03-09 23:24:20 Notice: Notice (8): Undefined variable: months in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 50]
2012-03-09 23:24:20 Notice: Notice (8): Undefined variable: days in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 51]
2012-03-09 23:24:20 Notice: Notice (8): Undefined variable: fees in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 79]
2012-03-09 23:24:20 Notice: Notice (8): Undefined variable: prefectures in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 85]
2012-03-09 23:24:45 Notice: Notice (8): Undefined variable: years_short in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 40]
2012-03-09 23:24:45 Notice: Notice (8): Undefined variable: months in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 41]
2012-03-09 23:24:45 Notice: Notice (8): Undefined variable: days in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 42]
2012-03-09 23:24:45 Notice: Notice (8): Undefined variable: years_long in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 49]
2012-03-09 23:24:45 Notice: Notice (8): Undefined variable: months in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 50]
2012-03-09 23:24:45 Notice: Notice (8): Undefined variable: days in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 51]
2012-03-09 23:24:45 Notice: Notice (8): Undefined variable: fees in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 79]
2012-03-09 23:24:45 Notice: Notice (8): Undefined variable: prefectures in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 85]
2012-03-09 23:28:07 Notice: Notice (8): Undefined variable: years_long in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 48]
2012-03-09 23:28:07 Notice: Notice (8): Undefined variable: months in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 49]
2012-03-09 23:28:07 Notice: Notice (8): Undefined variable: days in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 50]
2012-03-09 23:28:07 Notice: Notice (8): Undefined variable: fees in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 78]
2012-03-09 23:28:07 Notice: Notice (8): Undefined variable: prefectures in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 84]
2012-03-09 23:28:48 Notice: Notice (8): Undefined variable: years_long in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 51]
2012-03-09 23:28:48 Notice: Notice (8): Undefined variable: months in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 52]
2012-03-09 23:28:48 Notice: Notice (8): Undefined variable: days in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 53]
2012-03-09 23:28:48 Notice: Notice (8): Undefined variable: fees in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 81]
2012-03-09 23:28:48 Notice: Notice (8): Undefined variable: prefectures in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 87]
2012-03-09 23:29:06 Notice: Notice (8): Undefined variable: years_long in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 51]
2012-03-09 23:29:06 Notice: Notice (8): Undefined variable: months in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 52]
2012-03-09 23:29:06 Notice: Notice (8): Undefined variable: days in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 53]
2012-03-09 23:29:06 Notice: Notice (8): Undefined variable: fees in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 81]
2012-03-09 23:29:06 Notice: Notice (8): Undefined variable: prefectures in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 87]
2012-03-10 00:02:02 Notice: Notice (8): Undefined index:  Teachers in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/helpers/formhidden.php, line 8]
2012-03-10 01:17:16 Notice: Notice (8): Undefined index:  elementary in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 108]
2012-03-10 01:17:17 Notice: Notice (8): Undefined index:  junior in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 133]
2012-03-10 01:17:17 Notice: Notice (8): Undefined index:  high in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 158]
2012-03-10 01:17:17 Notice: Notice (8): Undefined index:  juken in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 197]
2012-03-10 01:17:17 Notice: Notice (8): Undefined index:  day in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 216]
2012-03-10 14:08:28 Notice: Notice (8): Undefined index:  elementary in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 108]
2012-03-10 14:08:28 Notice: Notice (8): Undefined index:  junior in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 133]
2012-03-10 14:08:28 Notice: Notice (8): Undefined index:  high in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 158]
2012-03-10 14:08:28 Notice: Notice (8): Undefined index:  juken in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 197]
2012-03-10 14:08:28 Notice: Notice (8): Undefined index:  day in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 216]
2012-03-10 14:12:32 Notice: Notice (8): Undefined property:  TeachersController::$Post in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 19]
2012-03-10 14:14:54 Notice: Notice (8): Undefined property:  TeachersController::$Model in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 20]
2012-03-10 14:19:31 Notice: Notice (8): Undefined index:  elementary in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 108]
2012-03-10 14:19:31 Notice: Notice (8): Undefined index:  junior in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 133]
2012-03-10 14:19:31 Notice: Notice (8): Undefined index:  high in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 158]
2012-03-10 14:19:31 Notice: Notice (8): Undefined index:  juken in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 197]
2012-03-10 14:19:31 Notice: Notice (8): Undefined index:  day in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 216]
2012-03-10 14:19:42 Notice: Notice (8): Undefined index:  elementary in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 47]
2012-03-10 14:19:42 Notice: Notice (8): Undefined index:  junior in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 64]
2012-03-10 14:19:42 Notice: Notice (8): Undefined index:  high in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 81]
2012-03-10 14:19:42 Notice: Notice (8): Undefined index:  juken in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 110]
2012-03-10 14:19:42 Notice: Notice (8): Undefined index:  day in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 121]
2012-03-10 14:26:08 Notice: Notice (8): Undefined index:  elementary in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 108]
2012-03-10 14:26:08 Notice: Notice (8): Undefined index:  junior in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 133]
2012-03-10 14:26:08 Notice: Notice (8): Undefined index:  high in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 158]
2012-03-10 14:26:08 Notice: Notice (8): Undefined index:  juken in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 197]
2012-03-10 14:26:08 Notice: Notice (8): Undefined index:  day in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 216]
2012-03-10 14:26:43 Notice: Notice (8): Undefined index:  elementary in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 108]
2012-03-10 14:26:43 Notice: Notice (8): Undefined index:  junior in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 133]
2012-03-10 14:26:43 Notice: Notice (8): Undefined index:  high in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 158]
2012-03-10 14:26:43 Notice: Notice (8): Undefined index:  juken in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 197]
2012-03-10 14:26:43 Notice: Notice (8): Undefined index:  day in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 216]
2012-03-10 14:28:07 Notice: Notice (8): Undefined index:  elementary in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 108]
2012-03-10 14:28:07 Notice: Notice (8): Undefined index:  junior in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 133]
2012-03-10 14:28:07 Notice: Notice (8): Undefined index:  high in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 158]
2012-03-10 14:28:07 Notice: Notice (8): Undefined index:  juken in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 197]
2012-03-10 14:28:07 Notice: Notice (8): Undefined index:  day in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 216]
2012-03-10 14:28:36 Notice: Notice (8): Undefined index:  elementary in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 108]
2012-03-10 14:28:36 Notice: Notice (8): Undefined index:  junior in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 133]
2012-03-10 14:28:36 Notice: Notice (8): Undefined index:  high in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 158]
2012-03-10 14:28:36 Notice: Notice (8): Undefined index:  juken in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 197]
2012-03-10 14:28:36 Notice: Notice (8): Undefined index:  day in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 216]
2012-03-10 14:29:22 Notice: Notice (8): Undefined property:  TeachersController::$Teachers in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 20]
2012-03-10 14:29:56 Notice: Notice (8): Undefined index:  elementary in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 108]
2012-03-10 14:29:56 Notice: Notice (8): Undefined index:  junior in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 133]
2012-03-10 14:29:56 Notice: Notice (8): Undefined index:  high in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 158]
2012-03-10 14:29:56 Notice: Notice (8): Undefined index:  juken in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 197]
2012-03-10 14:29:56 Notice: Notice (8): Undefined index:  day in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 216]
2012-03-10 14:33:49 Notice: Notice (8): Undefined index:  elementary in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 108]
2012-03-10 14:33:49 Notice: Notice (8): Undefined index:  junior in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 133]
2012-03-10 14:33:49 Notice: Notice (8): Undefined index:  high in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 158]
2012-03-10 14:33:49 Notice: Notice (8): Undefined index:  juken in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 197]
2012-03-10 14:33:49 Notice: Notice (8): Undefined index:  day in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 216]
2012-03-10 14:33:55 Notice: Notice (8): Undefined index:  elementary in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 47]
2012-03-10 14:33:55 Notice: Notice (8): Undefined index:  junior in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 64]
2012-03-10 14:33:55 Notice: Notice (8): Undefined index:  high in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 81]
2012-03-10 14:33:55 Notice: Notice (8): Undefined index:  juken in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 110]
2012-03-10 14:33:55 Notice: Notice (8): Undefined index:  day in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 121]
2012-03-10 14:34:05 Notice: Notice (8): Undefined index:  elementary in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 108]
2012-03-10 14:34:05 Notice: Notice (8): Undefined index:  junior in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 133]
2012-03-10 14:34:05 Notice: Notice (8): Undefined index:  high in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 158]
2012-03-10 14:34:05 Notice: Notice (8): Undefined index:  juken in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 197]
2012-03-10 14:34:05 Notice: Notice (8): Undefined index:  day in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 216]
2012-03-10 14:35:39 Notice: Notice (8): Undefined index:  elementary in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 108]
2012-03-10 14:35:39 Notice: Notice (8): Undefined index:  junior in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 133]
2012-03-10 14:35:39 Notice: Notice (8): Undefined index:  high in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 158]
2012-03-10 14:35:39 Notice: Notice (8): Undefined index:  juken in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 197]
2012-03-10 14:35:39 Notice: Notice (8): Undefined index:  day in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 216]
2012-03-10 14:36:22 Notice: Notice (8): Undefined index:  elementary in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 108]
2012-03-10 14:36:22 Notice: Notice (8): Undefined index:  junior in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 133]
2012-03-10 14:36:22 Notice: Notice (8): Undefined index:  high in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 158]
2012-03-10 14:36:22 Notice: Notice (8): Undefined index:  juken in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 197]
2012-03-10 14:36:22 Notice: Notice (8): Undefined index:  day in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 216]
2012-03-10 14:51:43 Notice: Notice (8): Undefined index:  elementary in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 23]
2012-03-10 14:51:43 Notice: Notice (8): Undefined index:  elementary in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 24]
2012-03-10 14:51:43 Notice: Notice (8): Undefined index:  elementary in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 25]
2012-03-10 15:07:38 Notice: Notice (8): Undefined offset:  2 in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/cake/libs/view/helpers/form.php, line 496]
2012-03-10 15:22:37 Notice: Notice (8): Undefined variable: errorMessages in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add2.ctp, line 82]
2012-03-10 15:43:30 Notice: Notice (8): Undefined index:  high in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add3.ctp, line 158]
2012-03-10 15:57:36 Notice: Notice (8): Undefined index:  high in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/controllers/teachers_controller.php, line 111]
2012-03-10 16:07:00 Notice: Notice (8): Undefined variable: errorMessages in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add2.ctp, line 82]
2012-03-10 16:07:00 Notice: Notice (8): Undefined variable: errorMessages in [/virtual/tnakayama3/public_html/test-china.visualdatabank.com/app/views/teachers/add2.ctp, line 93]
